filename,width,height,class,xmin,ymin,xmax,ymax
QPM1.jpg,0,0,over,103,57,133,88
QPM1.jpg,0,0,over,134,56,164,87
QPM1.jpg,0,0,over,165,55,195,86
QPM1.jpg,0,0,over,196,54,226,85
QPM1.jpg,0,0,over,227,55,257,86
QPM1.jpg,0,0,over,258,54,288,85
QPM1.jpg,0,0,over,289,53,319,84
QPM1.jpg,0,0,over,320,54,350,85
QPM1.jpg,0,0,over,396,54,426,85
QPM1.jpg,0,0,over,450,54,480,85
QPM1.jpg,0,0,over,504,54,534,85
QPM1.jpg,0,0,over,557,53,587,84
QPM1.jpg,0,0,over,588,54,618,85
QPM1.jpg,0,0,over,618,53,639,87
QPM1.jpg,0,0,over,58,100,88,131
QPM1.jpg,0,0,over,59,297,89,328
QPM1.jpg,0,0,over,59,328,89,359
QPM1.jpg,0,0,over,59,359,89,390
QPM1.jpg,0,0,over,135,337,165,368
QPM2.jpg,0,0,over,60,59,87,88
QPM2.jpg,0,0,over,95,58,122,87
QPM2.jpg,0,0,over,124,57,154,88
QPM2.jpg,0,0,over,342,57,372,88
QPM2.jpg,0,0,over,373,57,403,88
QPM2.jpg,0,0,over,406,55,436,86
QPM2.jpg,0,0,over,449,55,479,86
QPM2.jpg,0,0,over,614,55,639,88
QPM2.jpg,0,0,over,36,131,63,160
QPM3.jpg,0,0,over,74,58,104,91
QPM3.jpg,0,0,over,121,56,151,89
QPM3.jpg,0,0,over,207,54,237,87
QPM3.jpg,0,0,over,238,54,268,87
QPM3.jpg,0,0,over,269,54,299,87
QPM3.jpg,0,0,over,300,54,330,87
QPM3.jpg,0,0,over,331,54,361,87
QPM3.jpg,0,0,over,360,54,390,87
QPM3.jpg,0,0,over,454,53,484,86
QPM3.jpg,0,0,over,490,53,520,86
QPM3.jpg,0,0,over,520,54,550,87
QPM3.jpg,0,0,over,432,126,462,159
QPM4.jpg,0,0,over,111,196,141,228
QPM4.jpg,0,0,over,153,195,183,227
QPM4.jpg,0,0,over,194,194,224,226
QPM4.jpg,0,0,over,234,195,264,227
QPM4.jpg,0,0,over,275,194,305,226
QPM4.jpg,0,0,over,317,194,347,226
QPM4.jpg,0,0,over,358,194,388,226
QPM4.jpg,0,0,over,398,194,428,226
QPM4.jpg,0,0,over,440,194,470,226
QPM4.jpg,0,0,over,480,194,510,226
QPM4.jpg,0,0,over,521,194,551,226
QPM4.jpg,0,0,over,562,194,592,226
QPM4.jpg,0,0,over,541,236,571,268
QPM4.jpg,0,0,over,500,235,530,267
QPM4.jpg,0,0,over,460,235,490,267
QPM4.jpg,0,0,over,458,233,488,265
QPM4.jpg,0,0,over,378,235,408,267
QPM4.jpg,0,0,over,336,235,366,267
QPM4.jpg,0,0,over,296,235,326,267
QPM4.jpg,0,0,over,215,236,245,268
QPM4.jpg,0,0,over,173,235,203,267
QPM4.jpg,0,0,over,133,236,163,268
QPM4.jpg,0,0,over,112,277,142,309
QPM4.jpg,0,0,over,151,277,181,309
QPM4.jpg,0,0,over,193,277,223,309
QPM4.jpg,0,0,over,234,276,264,308
QPM4.jpg,0,0,over,275,276,305,308
QPM4.jpg,0,0,over,316,277,346,309
QPM4.jpg,0,0,over,356,276,386,308
QPM4.jpg,0,0,over,398,277,428,309
QPM4.jpg,0,0,over,439,276,469,308
QPM4.jpg,0,0,over,481,276,511,308
QPM4.jpg,0,0,over,520,276,550,308
QPM4.jpg,0,0,over,562,276,592,308
QPM4.jpg,0,0,over,566,2,596,34
QPM4.jpg,0,0,over,80,393,110,425
QPM4.jpg,0,0,over,43,392,73,424
QPM4.jpg,0,0,over,11,392,41,424
QPS1.jpg,0,0,shift,102,55,133,87
QPS1.jpg,0,0,shift,133,54,164,86
QPS1.jpg,0,0,shift,164,54,195,86
QPS1.jpg,0,0,shift,195,53,226,85
QPS1.jpg,0,0,shift,227,54,258,86
QPS1.jpg,0,0,shift,258,53,289,85
QPS1.jpg,0,0,shift,289,53,320,85
QPS1.jpg,0,0,shift,321,53,352,85
QPS1.jpg,0,0,shift,397,53,428,85
QPS1.jpg,0,0,shift,449,53,480,85
QPS1.jpg,0,0,shift,503,53,534,85
QPS1.jpg,0,0,shift,557,54,588,86
QPS1.jpg,0,0,shift,587,53,618,85
QPS1.jpg,0,0,shift,618,53,640,85
QPS1.jpg,0,0,shift,57,99,88,131
QPS1.jpg,0,0,shift,60,295,91,327
QPS1.jpg,0,0,shift,59,327,90,359
QPS1.jpg,0,0,shift,59,359,90,391
QPS1.jpg,0,0,shift,136,337,167,369
QPS2.jpg,0,0,shift,32,130,68,162
QPS2.jpg,0,0,shift,54,54,90,86
QPS2.jpg,0,0,shift,90,56,126,88
QPS2.jpg,0,0,shift,122,57,158,89
QPS2.jpg,0,0,shift,339,56,375,88
